g++ -std=c++1y -pthread -Wno-sign-compare   -I lib/opencl_1.2.8  -O3  -I . -I lib/eigen_3.3.3 -I lib/boost_1.66.0 -I lib/sundials_3.1.0/include -I lib/gtest_1.8.1/include -I lib/gtest_1.8.1 -I lib/gtest_1.8.1/include -I lib/gtest_1.8.1      -DBOOST_RESULT_OF_USE_TR1 -DBOOST_NO_DECLTYPE -DBOOST_DISABLE_ASSERTS -DBOOST_PHOENIX_NO_VARIADIC_EXPRESSION  -DSTAN_OPENCL -DOPENCL_DEVICE_ID=0 -DOPENCL_PLATFORM_ID=0 -DCL_USE_DEPRECATED_OPENCL_1_2_APIS  -DGTEST_USE_OWN_TR1_TUPLE -DGTEST_USE_OWN_TR1_TUPLE  -c -o test/unit/math/gpu/cholesky_decompose_test.o test/unit/math/gpu/cholesky_decompose_test.cpp
g++ -std=c++1y -pthread -Wno-sign-compare   -I lib/opencl_1.2.8  -O3  -I . -I lib/eigen_3.3.3 -I lib/boost_1.66.0 -I lib/sundials_3.1.0/include -I lib/gtest_1.8.1/include -I lib/gtest_1.8.1     -DBOOST_RESULT_OF_USE_TR1 -DBOOST_NO_DECLTYPE -DBOOST_DISABLE_ASSERTS -DBOOST_PHOENIX_NO_VARIADIC_EXPRESSION  -DSTAN_OPENCL -DOPENCL_DEVICE_ID=0 -DOPENCL_PLATFORM_ID=0 -DCL_USE_DEPRECATED_OPENCL_1_2_APIS  -DGTEST_USE_OWN_TR1_TUPLE         test/unit/math/gpu/cholesky_decompose_test.o lib/gtest_1.8.1/src/gtest_main.cc lib/gtest_1.8.1/src/gtest-all.o      -lOpenCL  -o test/unit/math/gpu/cholesky_decompose_test
Running main() from lib/gtest_1.8.1/src/gtest_main.cc
[==========] Running 2 tests from 1 test case.
[----------] Global test environment set-up.
[----------] 2 tests from MathMatrix
[ RUN      ] MathMatrix.cholesky_decompose_cpu_vs_gpu_small
[       OK ] MathMatrix.cholesky_decompose_cpu_vs_gpu_small (1 ms)
[ RUN      ] MathMatrix.cholesky_decompose_small
N: 10 - CPU: 3901
N: 10 - CPU: 1321
N: 10 - CPU: 937
N: 10 - CPU: 752
N: 10 - CPU: 768
N: 10 - CPU: 796
N: 10 - CPU: 745
N: 10 - CPU: 748
N: 10 - CPU: 733
N: 10 - CPU: 736
N: 10 - CPU: 765
N: 10 - CPU: 766
N: 10 - CPU: 736
N: 10 - CPU: 793
N: 10 - CPU: 741
N: 10 - CPU: 751
N: 10 - CPU: 747
N: 10 - CPU: 782
N: 10 - CPU: 782
N: 10 - CPU: 762
N: 10 - CPU: 772
N: 10 - CPU: 750
N: 10 - CPU: 779
N: 10 - CPU: 738
N: 10 - CPU: 734
N: 10 - CPU: 768
N: 10 - CPU: 739
N: 10 - CPU: 730
N: 10 - CPU: 756
N: 10 - CPU: 781
N: 10 - CPU: 752
N: 10 - CPU: 736
N: 10 - CPU: 775
N: 10 - CPU: 751
N: 10 - CPU: 741
N: 10 - CPU: 749
N: 10 - CPU: 759
N: 10 - CPU: 743
N: 10 - CPU: 753
N: 10 - CPU: 732
N: 10 - CPU: 742
N: 10 - CPU: 768
N: 10 - CPU: 727
N: 10 - CPU: 766
N: 10 - CPU: 771
N: 10 - CPU: 763
N: 10 - CPU: 736
N: 10 - CPU: 769
N: 10 - CPU: 762
N: 10 - CPU: 750
N: 10 - CPU: 741
N: 10 - CPU: 749
N: 10 - CPU: 758
N: 10 - CPU: 730
N: 10 - CPU: 764
N: 10 - CPU: 735
N: 10 - CPU: 752
N: 10 - CPU: 746
N: 10 - CPU: 727
N: 10 - CPU: 754
N: 10 - CPU: 751
N: 10 - CPU: 739
N: 10 - CPU: 748
N: 10 - CPU: 746
N: 10 - CPU: 741
N: 10 - CPU: 768
N: 10 - CPU: 755
